Date,User,Activity,Issue,Comment,Hours
2025-04-29,ThienND,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-29,ChuongNPN,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-29,KietNA,06_User Acceptance Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-29,DuongNT,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-29,PhuDT,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-29,YenNH,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-29,VinhDV,05_Integration Test,Task #178434: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-29,QuyLV,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-28,ThienND,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-28,ChuongNPN,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-28,KietNA,06_User Acceptance Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-28,DuongNT,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-28,PhuDT,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-28,YenNH,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-28,VinhDV,05_Integration Test,Task #178434: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-28,QuyLV,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-25,ThienND,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-25,DuongNT,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-25,KietNA,06_User Acceptance Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-25,PhuDT,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-25,YenNH,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-25,VinhDV,05_Integration Test,Task #178434: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-25,QuyLV,03_Coding,Task #179387: [Phase3][UAT][FONT][CD] No.488,"",8.00
2025-04-25,ChuongNPN,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-24,ThienND,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-24,DuongNT,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-24,KietNA,06_User Acceptance Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-24,YenNH,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-24,VinhDV,05_Integration Test,Task #178434: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-24,PhuDT,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-24,QuyLV,03_Coding,Task #179387: [Phase3][UAT][FONT][CD] No.488,"",8.00
2025-04-24,ChuongNPN,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-23,KietNA,06_User Acceptance Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-23,YenNH,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-23,QuyLV,04_Unit Test,Task #179326: [Inspection] Performance Test,"",4.00
2025-04-23,DuongNT,04_Unit Test,Task #179326: [Inspection] Performance Test,8,8.00
2025-04-23,ThienND,04_Unit Test,Task #179326: [Inspection] Performance Test,8,8.00
2025-04-23,PhuDT,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-23,VinhDV,05_Integration Test,Task #178434: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-23,QuyLV,03_Coding,Task #179387: [Phase3][UAT][FONT][CD] No.488,"",4.00
2025-04-23,ChuongNPN,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-22,DuongNT,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-22,KietNA,06_User Acceptance Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-22,ThienND,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-22,QuyLV,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-22,PhuDT,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
